phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/g_red,loss/g_margin,loss/g_self,loss/g_selfpass,loss/g_lim,loss/g_rot,loss/g_man,loss/g_iso,loss/g_sigma,mask/g_red_den,mask/g_margin_den,mask/g_self_den,mask/g_selfpass_den,mask/g_lim_den,mask/g_rot_den,mask/g_man_den,mask/g_iso_den,mask/g_sigma_den,ws_acc,ws_precision,ws_recall,ws_f1,g_red_mae,g_red_rmse,g_margin_mae,g_margin_rmse,g_self_mae,g_self_rmse,g_selfpass_mae,g_selfpass_rmse,g_lim_mae,g_lim_rmse,g_rot_mae,g_rot_rmse,g_man_mae,g_man_rmse,g_iso_mae,g_iso_rmse,g_sigma_mae,g_sigma_rmse
train,2900,50000,0.0001,-3.0933589935302734,0.37237679958343506,0.37237679958343506,-3.0933589935302734,0.09803759306669235,0.08453456312417984,0.06743915379047394,0.002771773375570774,1.204779437102843e-05,0.028510473668575287,0.04671496897935867,0.00013656039664056152,0.001429035677574575,0.04279065504670143,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,3000,50000,0.0001,-2.6467182636260986,0.819017767906189,0.819017767906189,-2.6467182636260986,0.32770252227783203,0.09696034342050552,0.14323875308036804,0.05399080738425255,8.342294677277096e-06,0.03238563984632492,0.12452804297208786,0.009024091996252537,0.0039016969967633486,0.027277519926428795,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
val,3000,50000,,-2.8742717838287355,0.5914641129225493,0.5914641129225493,,,,,,,,,,,,,,,,,,,,,0.946,0.9625537139349294,0.9708978328173374,0.9667077681874229,0.10631419451613175,0.14766848925846085,0.11780232902466328,0.16055922785784915,0.09681880581120589,0.17947205139089054,0.0036358289674339648,0.04171754255120454,0.06197107668631586,0.07958623772915493,0.10384563775992615,0.13894615303166402,0.01249032928363273,0.018573797280367593,0.023778711883322375,0.046353504023014636,0.04749323471042763,0.07452623152503364
train,3100,50000,0.0001,-2.9287431240081787,0.5369929671287537,0.5369929671287537,-2.9287431240081787,0.17856185138225555,0.09152954816818237,0.11534794420003891,0.00045167820644564927,9.294933079218026e-06,0.03343871608376503,0.068096823990345,0.0007252269424498081,0.0024197776801884174,0.046412061899900436,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,3200,50000,0.0001,-2.7487215995788574,0.7170141339302063,0.7170141339302063,-2.7487215995788574,0.12864813208580017,0.08570888638496399,0.18241193890571594,0.10608740150928497,7.378871032415191e-06,0.05606360733509064,0.10339584201574326,0.0004685597959905863,0.03680958226323128,0.01741284504532814,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
train,3300,50000,0.0001,-3.0518500804901123,0.41388583183288574,0.41388583183288574,-3.0518500804901123,0.05633886158466339,0.05101170018315315,0.13905367255210876,0.03368667885661125,0.006921123713254929,0.03397525101900101,0.04126289486885071,0.00016929862613324076,0.0020958513487130404,0.049370527267456055,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,
train,3400,50000,0.0001,-3.294583559036255,0.17115238308906555,0.17115238308906555,-3.294583559036255,0.02884405478835106,0.02494063414633274,0.043506693094968796,0.0007850672700442374,4.345853449194692e-05,0.016442622989416122,0.02559065818786621,0.00017230237426701933,0.0012491269735619426,0.029577769339084625,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,3500,50000,0.0001,-3.2107861042022705,0.25494980812072754,0.25494980812072754,-3.2107861042022705,0.025556271895766258,0.04523054137825966,0.07358687371015549,0.004854272585362196,7.022536919976119e-06,0.023120470345020294,0.0697561651468277,0.0018304059049114585,0.001986435614526272,0.009021379053592682,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
val,3500,50000,,-2.8812577629089358,0.5844781556725502,0.5844781556725502,,,,,,,,,,,,,,,,,,,,,0.9485,0.9655172413793104,0.9708978328173374,0.968200061747453,0.1012453952256371,0.13364008803168997,0.1208484625115114,0.16568831040539625,0.10620328158416985,0.20117163211251596,0.0028532671854591962,0.02346128219725684,0.06068121429198298,0.0765375634611449,0.1057232576165775,0.14161175640856025,0.011789704244526179,0.017048827883843865,0.019493844384333298,0.038645981239642,0.04937569234208795,0.07333525113959387
train,3600,50000,0.0001,-2.94071888923645,0.5250172019004822,0.5250172019004822,-2.94071888923645,0.1866903007030487,0.09803242236375809,0.09087590873241425,0.0033157882280647755,5.620147931040265e-06,0.026172582060098648,0.09958339482545853,0.0016026265220716596,0.0008148862398229539,0.017923647537827492,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
